,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
175672,Employee Allowance,Special Education,,TRAVEL,,General,Special Ed Evaluation Services,,"Guidance, Counseling and Evaluation Services",,,599.7077296,,,General Fund,
9713,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1,Instruction,,,53189.47357,,,General Fund,
394971,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,0.9896,Student Transportation,,,34170.70529,,,General Fund,
108596,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, SOCCER",,General,School ,,Cocurricular & Extra Curricular Activities,,,1815.249466,,,Athletics,
90212,Employee Allowance,Undistributed,,TRAVEL,,Community Training and Assistance Center,Strategic Compensation Initiative,,Curriculum & Instructional Staff Development,,,2871.495689,,,General Fund,
38185,Professional Salaries,Bilingual Education,,T-EL 1ST BIL,,General,School ,1,Instruction,,,52515.1962,,,General Fund,
108113,,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Plant Maintenance & Operations,,,499.13,,,General Fund,
194219,Professional Salaries,Basic Educational Services,,T-MS INST CO,,General,School ,1,Instruction,,,55125.4258,,,General Fund,
423219,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,33952.84313,,,General Fund,
191736,Professional Salaries,Special Education,,T-MS/SE LIFE SK,,General,School ,1,Instruction,,,52852.21367,,,General Fund,
352907,Non Food,Undistributed,,,,Warehouse Operations,School ,,Food Services,,,1199.41,,,Nat'l Schl Breakfast & Lunch Prog.,
85482,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.5,Food Services,,,14321.86815,,,Nat'l Schl Breakfast & Lunch Prog.,
375527,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,3000.27,,,Title I- Part A,
285474,Miscellaneous Contracted Srvcs,Undistributed,,,,Laundry,School ,,Food Services,,,440.06,,,Nat'l Schl Breakfast & Lunch Prog.,
161765,Professional Salaries,Prekindergarten,,T-EL PK BIL,,Overcrowding,Pre-K Center,1,Instruction,,,72003.75288,,,General Fund,
381749,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,0.5,Student Transportation,,,15583.77179,,,General Fund,
240230,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.625,Food Services,,,15048.23825,,,Nat'l Schl Breakfast & Lunch Prog.,
224602,Salaries for Support Personnel,Undistributed,,ADMIN ASST II,,General,School ,1,School Leadership,,,43987.57374,,,General Fund,
228735,Copier Rental,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,10000.6,,,General Fund,
273278,Professional Salaries,Basic Educational Services,,T-EL MUSIC,,Choral Music,School ,1,Instruction,,,53528.04441,,,General Fund,
266088,Extra Duty/Signing Bonus Pay,Undistributed,,ASST BAND DIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,2872.188108,,,General Fund,
301205,Substitute for Other Professionals,Undistributed,,,,General,School ,,School Leadership,,,10924.02451,,,General Fund,
91767,Professional Salaries,Bilingual Education,,T-EL 4TH ESL,,General,School ,1,Instruction,,,54113.11759,,,General Fund,
398267,Extra Duty/Overtime,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,1518.824065,,,General Fund,
75500,Salaries for Support Personnel,Undistributed,,GUIDANCE SEC,,General,School ,1,"Guidance, Counseling and Evaluation Services",,,39986.44216,,,General Fund,
229362,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, WRESTLING",,General,School ,,Cocurricular & Extra Curricular Activities,,,6718.483474,,,Athletics,
421553,Reading Materials including Library Books,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,999.71,,,General Fund,
79174,Salaries for Support Personnel,Undistributed,,EXEC ASST I,,General,Human Resources,1,General Administration,,,55625.03196,,,General Fund,
263772,Employee Allowance,Undistributed,,,,General,Assoc Superintendent-Area ,,Curriculum & Instructional Staff Development,,,0.09,,,General Fund,
384219,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,31629.48942,,,General Fund,
70932,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,708.2071563,,,General Fund,
430531,Extra Duty/Signing Bonus Pay,Athletics and Related,,MS ATHLETIC COR,,General,School ,,Cocurricular & Extra Curricular Activities,,,1297.330701,,,Athletics,
256653,Extra Duty/Overtime,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,3527.539179,,,General Fund,
370335,Professional Salaries,Special Education,,T-HS/SE,,General,Center,1,Instruction,,,60858.70748,,,General Fund,
287852,Employee Allowance,Undistributed,,TRAVEL,,General,Management Info System,,Data Processing Services,,,1718.251805,,,General Fund,
418447,Substitute Teachers,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,16082.41444,,,General Fund,
330952,Professional Salaries,Undistributed,,V/H TEST TECH,,General,Health Services,1,Health Services,,,54637.34366,,,General Fund,
352331,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,"Guidance, Counseling and Evaluation Services",,,1000.04,,,Title I- Part A,
321593,Extra Duty/Signing Bonus Pay,Undistributed,,FTO DIRECTOR,,General,School ,,Cocurricular & Extra Curricular Activities,,,2280.749726,,,General Fund,
348749,Professional Salaries,Basic Educational Services,, ORCHESTRA,,Orchestra,School ,0.6,Instruction,,,32521.6636,,,General Fund,
202735,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,Food Service,,Food Services,,,174.82,,,Nat'l Schl Breakfast & Lunch Prog.,
291012,Professional Salaries,Basic Educational Services,, ENGLISH,,General,School ,1,Instruction,,,53886.65292,,,General Fund,
281192,Professional Salaries,Bilingual Education,,T-EL 3RD BIL,,General,School ,1,Instruction,,,53527.31441,,,General Fund,
20787,General Supplies,Undistributed,,,,Graduation,School ,,School Leadership,,,0,,,General Fund,
212068,Miscellaneous Contracted Srvcs,Special Education,,,,Special Education,School ,,Instruction,,,400.52,,,General Fund,
437538,General Supplies,Accelerated Education,,,,Line Item that is paid with Campus' money,School ,,"Guidance, Counseling and Evaluation Services",,,100.35,,,General Fund,
123853,Extra Duty/Signing Bonus Pay,Accelerated Education,,EXTRA DUTIES,,General,School Turnaround Initiative,,Instructional Leadership,,,1639.027677,,,General Fund,
425142,Employee Allowance,Prekindergarten,,TRAVEL,,General,Early Childhood Center,,School Leadership,,,707.5071563,,,General Fund,
340589,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, TRACK",,General,School ,,Cocurricular & Extra Curricular Activities,,,1815.339466,,,Athletics,
421699,General Supplies,Basic Educational Services,,,,Social Studies,School ,,Instruction,,,3000.68,,,General Fund,
224022,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1,Instruction,,,52964.7189,,,General Fund,
13142,Salaries for Support Personnel,Undistributed,,TV PROGRAM SPEC,,General,Cable TV,1,Instructional Resource & Media Services,,,54822.72463,,,General Fund,
15655,Professional Salaries,Special Education,,T-HS/SE ENGLISH,,General,School ,1,Instruction,,,53887.46292,,,General Fund,
443778,Professional Salaries,Basic Educational Services,,T-HS HISTORY,,General,School ,1,Instruction,,,52740.04087,,,General Fund,
410624,Food/Refreshment,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,2399.51,,,General Fund,
18345,Extra Duty/Signing Bonus Pay,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,8102.91007,,,General Fund,
159769,Professional Salaries,Basic Educational Services,,T-EL ART,,General,School ,0.33,Instruction,,,18413.68176,,,General Fund,
57830,General Supplies,Undistributed,,,,General,Office of Innovation and Development,,General Administration,,,16382.73,,,General Fund,
89599,Consulting Services,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,999.93,,,General Fund,
149587,Professional Salaries,Accelerated Education,,T-HS SCI- GEN'L,,Delta,Program ABC,1,Instruction,,,53549.64209,,,General Fund,
202592,Salaries for Support Personnel,Undistributed,,F/S MGR I,,General,School ,1,Food Services,,,40434.5885,,,Nat'l Schl Breakfast & Lunch Prog.,
92907,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,345.69,,,IDEA-B Formula,
425594,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.75,Food Services,,,22238.2166,,,Nat'l Schl Breakfast & Lunch Prog.,
428210,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,33455.33609,,,General Fund,
422869,Professional Salaries,Basic Educational Services,,T-HS PHYSICS,,General,School ,1,Instruction,,,60525.8143,,,General Fund,
73126,Professional Salaries,Bilingual Education,,T-EL 3RD BIL,,General,School ,1,Instruction,,,52514.3062,,,General Fund,
382942,Extra Duty/Overtime,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,1266.492985,,,General Fund,
267775,Salaries for Support Personnel,Undistributed,,SECURITY GUARD,,General,School ,1,Security & Monitoring Servicess,,,29986.42314,,,General Fund,
198632,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1512.38,,,Nat'l Schl Breakfast & Lunch Prog.,
294435,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,0.7604,Student Transportation,,,19755.28481,,,General Fund,
407398,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1,Instruction,,,52852.18367,,,General Fund,
146936,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,SSIG,School ,,Instruction,,,9427.318814,,,General Fund,
284382,Substitute Teachers,Basic Educational Services,,,,General,School ,,Instruction,,,58489.10629,,,General Fund,
159611,Professional Salaries,Bilingual Education,,T-EL 3RD ESL,,General,School ,1,Instruction,,,54203.25934,,,General Fund,
286018,Career Ladder,Basic Educational Services,,CL ,,General,School ,,Instruction,,,3277.865353,,,General Fund,
54313,Professional Salaries,Basic Educational Services,, CHOIR,,Choral Music,School ,1,Instruction,,,59602.79785,,,General Fund,
118341,Employee Travel  (including In-District and Out-of-District),Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,299.4,,, Century Community Learning,
203789,Salaries for Support Personnel,Accelerated Education,,CHILD CARE I,,Child Care Program-After School,School ,1,Community Services,,,31507.2639,,,SAMSA-Noneducation (Substance Abuse Mental Health Services Adm),
120658,Salaries for Support Personnel,Undistributed,,UNIX ADMIN,,General,Network Support,1,Data Processing Services,,,96250.91112,,,General Fund,
311291,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,Primary Center,,Instruction,,,11823.71,,,General Fund,
254341,Professional Salaries,Basic Educational Services,,T-EL 5TH,,General,School ,1,Instruction,,,57825.73959,,,General Fund,
323667,Professional Salaries,Special Education,,T-HS/SE INCLUS,,General,School ,1,Instruction,,,52739.49087,,,General Fund,
191158,Professional Salaries,Basic Educational Services,,T-HS ECONOMICS,,General,School ,0.8,Instruction,,,62463.43506,,,General Fund,
79,Extra Duty/Signing Bonus Pay,Athletics and Related,,"FR COACH,BASEBL",,General,School ,,Cocurricular & Extra Curricular Activities,,,3626.729258,,,Athletics,
20601,Miscellaneous Contracted Srvcs,Undistributed,,,,Laundry,School ,,Food Services,,,705.32,,,Nat'l Schl Breakfast & Lunch Prog.,
145523,General Supplies,Basic Educational Services,,,,Art,School ,,Instruction,,,3499.37,,,General Fund,
328160,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,General,Primary Center,,Curriculum & Instructional Staff Development,,,2977.379,,,Title I- Part A,
147224,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,51676.945,,,Title I- Part A,
102969,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,0.67,Instruction,,,35260.31673,,,General Fund,
117608,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1,Instruction,,,52739.46087,,,General Fund,
90978,General Supplies,Basic Educational Services,,,,Art,School ,,Instruction,,,5793.83,,,General Fund,
445124,Extra Duty/Signing Bonus Pay,Career and Technology,,,,General,School ,,Instruction,,,18273.44585,,,General Fund,
161011,Salaries for Support Personnel,Undistributed,,FOOD PROD SPIII,,General,School ,0.6875,Food Services,,,18693.37199,,,Nat'l Schl Breakfast & Lunch Prog.,
94982,Part-Time Hourly,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,-0.55,,,Title I- Part A,
173255,Professional Salaries,,,Media Relations Supervisor,,,Office of Planning and Community Relations,1,,,,70774.67146,,,General Fund,
237988,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, BASEBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,6718.043474,,,Athletics,
263480,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,INSTR/CURR SPEC,,General,School ,1,Instruction,,,55674.20123,,,Title I- Part A,
292684,Textbooks ,Career and Technology,,,,Family & Consumer Sci-HS   ,School ,,Instruction,,,3943.33,,,General Fund,
389551,Reading Materials including Library Books,Undistributed,,,,General,Office of Facilities,,Plant Maintenance & Operations,,,599.78,,,General Fund,
272756,Employee Allowance,Special Education,,TRAVEL,,General,Special Education,,"Guidance, Counseling and Evaluation Services",,,2392.336408,,,General Fund,
9095,General Supplies,Basic Educational Services,,,,Science,School ,,Instruction,,,4999.78,,,General Fund,
62128,Gas & Other Fuels,Undistributed,,,,General,Activity Center,,Plant Maintenance & Operations,,,12991.98,,,General Fund,
173903,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,110.36,,,IDEA-B Formula,
117443,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.8125,Food Services,,,25171.74032,,,Nat'l Schl Breakfast & Lunch Prog.,
294726,Salaries for Support Personnel,Undistributed,,CUST CREW LDR,,General,School ,1,Plant Maintenance & Operations,,,36940.64869,,,General Fund,
393688,Extra Duty/Overtime,Undistributed,,,,General,School ,,"Guidance, Counseling and Evaluation Services",,,-0.68,,,General Fund,
271199,Professional Salaries,Bilingual Education,,T-EL 1ST ESL,,General,School ,1,Instruction,,,53864.55431,,,General Fund,
142067,Professional Salaries,Special Education,,T-HS/SE,,General,School ,1,Instruction,,,63654.37975,,,General Fund,
152477,Employee Allowance,Undistributed,,TRAVEL,,General,Accountability,,Data Processing Services,,,2870.875689,,,General Fund,
15510,Extra Duty/Signing Bonus Pay,Undistributed,,DEPT CHAIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,6043.668871,,,General Fund,
143851,Professional Salaries,Accelerated Education,,T-HS AVID,,AVID supplement,School ,0.83,Instruction,,,44147.84697,,,General Fund,
51681,Miscellaneous Contracted Srvcs,Undistributed,,,,Laundry,School ,,Food Services,,,598.11,,,Nat'l Schl Breakfast & Lunch Prog.,
331538,Salaries for Support Personnel,Undistributed,,FOOD PROD SPIII,,General,School ,0.8125,Food Services,,,23144.5315,,,Nat'l Schl Breakfast & Lunch Prog.,
368706,Professional Salaries,Undistributed,,HS ASST PRIN,,General,School ,1,School Leadership,,,81925.61211,,,General Fund,
91689,Professional Salaries,Basic Educational Services,,T-EL 3RD,,General,School ,1,Instruction,,,52740.11087,,,General Fund,
268933,Professional Salaries,Bilingual Education,,T-EL 4TH ESL,,General,School ,1,Instruction,,,52851.93367,,,General Fund,
443173,Extra Duty/Signing Bonus Pay,Prekindergarten,,,,General,Early Childhood Center,,School Leadership,,,3277.125353,,,General Fund,
70949,General Supplies,Career and Technology,,,,Business,School ,,Instruction,,,4199.81,,,General Fund,
421705,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.5,Food Services,,,11316.3046,,,Nat'l Schl Breakfast & Lunch Prog.,
24957,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,INSTR/CURR SPEC,,General,School ,0.5,Instruction,,,31340.76926,,,Title I- Part A,
257754,Employee Allowance,Undistributed,,TRAVEL,,General,Internal Audit,,General Administration,,,2175.967555,,,General Fund,
24435,Employee Allowance,Undistributed,,TRAVEL,,General,Food Service,,Food Services,,,5708.342,,,Nat'l Schl Breakfast & Lunch Prog.,
363297,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,INSTR/CURR SPEC,,General,School ,1,Instruction,,,56738.56658,,,Title I- Part A,
124125,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,School ,,School Leadership,,,524.5708565,,,General Fund,
132901,Substitute Teachers,Special Education,,,,General,School ,,Curriculum & Instructional Staff Development,,,-0.22,,,IDEA-B Preschool,
375777,Professional Salaries,Basic Educational Services,, LANG ARTS,,General,School ,1,Instruction,,,53189.26357,,,General Fund,
65872,Salaries for Support Personnel,,,Custodian,,,School ,1,,,,30750.85208,,,General Fund,
349036,Substitute Teachers,Special Education,,,,General,Special Education,,Curriculum & Instructional Staff Development,,,28725.63,,,IDEA-B Preschool,
6753,Gas & Other Fuels,Undistributed,,,,General,Center,,Plant Maintenance & Operations,,,16241.02,,,General Fund,
289021,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,1,Instruction,,,52964.4889,,,General Fund,
399768,Salaries for Support Personnel,Undistributed,,CLERK III- SCH,,General,School ,1,School Leadership,,,26338.33418,,,General Fund,
263635,Salary Adjustments,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,3606.01,,,Title I- Part A,
154989,Consulting Services,Disciplinary AEP-Basic Services,,,,Drop Out Initiative,Secondary Alternative Learning Center,,Instruction,,,-0.29,,,General Fund,
50762,Professional Salaries,Accelerated Education,,COORD- COM SCH,,,Community Education-South,1,Community Services,,,78802.05452,,,Community Ed-City,
439471,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Construction Management,,Plant Maintenance & Operations,,,479.54,,,General Fund,
87025,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,ABD,1,Instruction,,,28185.85234,,,General Fund,
416814,Salaries for Support Personnel,Undistributed,,FACIL COND TECH,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,57528.66044,,,General Fund,
293010,Professional Salaries,Basic Educational Services,,T-HS BIOLOGY,,General,School ,1,Instruction,,,73353.741,,,General Fund,
64614,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1665.53,,,Nat'l Schl Breakfast & Lunch Prog.,
265498,,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,1.08,,, Century Community Learning,
105514,Professional Salaries,Basic Educational Services,, READING,,General,School ,1,Instruction,,,52627.339,,,General Fund,
373917,Food/Refreshment,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,1999.58,,,Title I- Part A,
66882,Extra Duty/Signing Bonus Pay,Undistributed,,,,General,Student Services,,General Administration,,,1119.858912,,,General Fund,
342542,Salaries for Support Personnel,Undistributed,,SR. POLICE OFCR,,General,School ,1,Security & Monitoring Servicess,,,61401.41767,,,General Fund,
202718,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,34871.6189,,,General Fund,
65890,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,28896.88222,,,General Fund,
331222,Extra Duty/Signing Bonus Pay,Undistributed,,,,Community Training and Assistance Center,School ,,Curriculum & Instructional Staff Development,,,15293.91832,,,General Fund,
446477,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1,Instruction,,,52852.16367,,,General Fund,
66072,Professional Salaries,Basic Educational Services,,T-EL ART,,General,School ,0.17,Instruction,,,9673.357332,,,General Fund,
150142,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1,Instruction,,,58928.66955,,,General Fund,
310609,Extra Duty/Signing Bonus Pay,Undistributed,,CHEERLEADER DIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,3447.200213,,,General Fund,
445352,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,734.1327807,,,General Fund,
107510,Reading Materials including Library Books,Career and Technology,,,,Family Consumer Science,School ,,Instruction,,,0.29,,,General Fund,
304718,Extra Duty/Overtime,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,1011.811904,,,General Fund,
105824,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,4999.36,,,General Fund,
240112,Extra Duty/Overtime,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,2026.063808,,,General Fund,
73947,General Supplies,Basic Educational Services,,,,Music Lab,School ,,Instruction,,,373.12,,,General Fund,
155487,Extra Duty/Overtime,Undistributed,,,,General,School ,,School Leadership,,,-0.95,,,General Fund,
297772,Employee Allowance,Basic Educational Services,,TRAVEL,,General,School ,,Instruction,,,256.5159176,,,General Fund,
52864,Equipment Maintenance Repairs,Undistributed,,,,General,School ,,Food Services,,,1770.53,,,Nat'l Schl Breakfast & Lunch Prog.,
172721,Food/Refreshment,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,596.96,,,Title I- Part A,
168065,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,0.67,Instruction,,,35802.84814,,,General Fund,
248835,Professional Salaries,Special Education,,T-HS/SE SBS,,General,School ,1,Instruction,,,55042.38088,,,General Fund,
169695,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,140.54,,,General Fund,
443616,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,0.18,,,General Fund,
445976,Substitute Teachers,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,8158.793411,,,General Fund,
128210,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,29017.81929,,,General Fund,
172145,Employee Allowance,Special Education,,TRAVEL,,General,Special Ed Evaluation Services,,"Guidance, Counseling and Evaluation Services",,,432.6177066,,,General Fund,
140543,Part-Time Hourly,Special Education,,,,General,Special Ed Evaluation Services,,"Guidance, Counseling and Evaluation Services",,,109951.7671,,,General Fund,
405705,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.6875,Food Services,,,18075.44853,,,Nat'l Schl Breakfast & Lunch Prog.,
330145,General Supplies,Career and Technology,,,,Family & Consumer Sci-HS   ,School ,,Instruction,,,1512.33,,,General Fund,
83079,Professional Salaries,Accelerated Education,,CHILD STUDY FAC,,General,Learning Support Services,1,Social Work Services,,,66291.05057,,,General Fund,
14997,Subs for Support Personnel,Undistributed,,FOOD PROD SUB,,General,Food Service,,Food Services,,,37.71,,,Nat'l Schl Breakfast & Lunch Prog.,
183388,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, VOLLEYBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,2075.855057,,,Athletics,
243377,Salaries for Support Personnel,Undistributed,,CLERK III- SCH,,General,School ,1,School Leadership,,,35911.91252,,,General Fund,
176846,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,707.9271563,,,General Fund,
49316,Extra Duty/Signing Bonus Pay,Special Education,,,,General,School ,,Instruction,,,5062.839521,,,General Fund,
214938,Extra Duty/Signing Bonus Pay,Special Education,,,,General,School ,,Instruction,,,10632.60878,,,General Fund,
394405,Testing Materials,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,499.42,,,Title I- Part A,
92405,Professional Salaries,Basic Educational Services,, AD SOC SC,,General,School ,1,Instruction,,,52514.9862,,,General Fund,
258194,Career Ladder,Accelerated Education,,,,General,School ,,Instruction,,,1638.777677,,,General Fund,
94851,Employee Allowance,Special Education,,TRAVEL,,Speech Therapist,School ,,Instruction,,,255.2059176,,,General Fund,
188747,Professional Salaries,Special Education,,T-EL/SE,,General,School ,1,Instruction,,,54202.97934,,,General Fund,
409184,Reproduction Services,Accelerated Education,,,,Cycle  (used for grants),School ,,Community Services,,,100.02,,, Century Community Learning,
214468,General Supplies,Prekindergarten,,,,Pre-K Tuition,School ,,Instruction,,,150.21,,,General Fund,
362727,General Supplies,Athletics and Related,,,,Girls Cross Country,School ,,Cocurricular & Extra Curricular Activities,,,449.93,,,Athletics,
118328,Part-Time Hourly,Special Education,,,,General,School ,,Instruction,,,1120.984,,,IDEA-B Formula,
193504,Extra Duty/Overtime,Undistributed,,,,General,School ,,Security & Monitoring Servicess,,,6128.717511,,,General Fund,
216058,Professional Salaries,High School Allotment,,T-HS ENGLISH,,General,School ,1,Instruction,,,53436.82022,,,General Fund,
219076,Part-Time Hourly,Accelerated Education,,,,Bilingual & Spec Lang,Summer School,,School Leadership,,,23287.20412,,,General Fund,
265623,Employee Allowance,Accelerated Education,,TRAVEL,,General,Learning Support Services,,Social Work Services,,,2391.456408,,,General Fund,
247481,Professional Salaries,Basic Educational Services,,T-EL 3RD,,General,School ,1,Instruction,,,55552.82746,,,General Fund,
139945,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,29334.7979,,,General Fund,
392241,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,0.5,Instruction,,,17103.20131,,,IDEA-B Formula,
149427,Professional Salaries,Bilingual Education,,T-EL 1ST ESL,,General,School ,1,Instruction,,,59176.62526,,,General Fund,
176866,Professional Salaries,Bilingual Education,,T-EL 4TH ESL,,General,School ,1,Instruction,,,53190.14357,,,General Fund,
263075,Food/Refreshment,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,499.72,,,General Fund,
350989,Professional Salaries,Prekindergarten,,,,Pre-K,School ,,Instruction,,,-0.09,,,General Fund,
160882,Gas & Other Fuels,Undistributed,,,,General,Building,,Plant Maintenance & Operations,,,3897.78,,,General Fund,
393792,General Supplies,Gifted and Talented,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,250.25,,,General Fund,
164782,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,,TCHR ASST- BIL,,General,School ,1,Instruction,,,31790.28783,,,Title I- Part A,
405213,Subs for Support Personnel,Basic Educational Services,,,,General,School ,,Instruction,,,8606.934976,,,General Fund,
398293,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,32428.92023,,,General Fund,
158734,Professional Salaries,Bilingual Education,,T-EL 3RD BIL,,General,School ,1,Instruction,,,60278.03522,,,General Fund,
280874,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.6875,Food Services,,,18074.19853,,,Nat'l Schl Breakfast & Lunch Prog.,
230718,General Supplies,Basic Educational Services,,,,Science,School ,,Instruction,,,100.1,,,General Fund,
168100,Professional Salaries,Special Education,,T-MS/SE INCLUS,,General,School ,1,Instruction,,,69302.07153,,,General Fund,
262468,General Supplies,Basic Educational Services,,,,Music Lab,School ,,Instruction,,,334.01,,,General Fund,
39972,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,Early Childhood Center,1,Plant Maintenance & Operations,,,32803.65904,,,General Fund,
318262,Professional Salaries,Basic Educational Services,, SCI- GEN',,General,School ,1,Instruction,,,53437.40022,,,General Fund,
31836,Professional Salaries,Basic Educational Services,, FRENCH,,General,School ,1,Instruction,,,59603.25785,,,General Fund,
322545,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,4799.36,,,Title I- Part A,
216430,Professional Salaries,Undistributed,,I-C- MUSIC,,General,Elementary Music,1,Instructional Leadership,,,73481.66706,,,General Fund,
323814,Copier Rental,Bilingual Education,,,,General,Bilingual / ESL,,Instructional Leadership,,,9000.19,,,General Fund,
