,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
278009,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,FOODSVC,Food Service Operations,SATELLITE COOK,,,,EN FOOD SERVICE,0.4224,"Food Purchasing, Preparation and Dispensing Services *",,,6035.50016,,Food Services,ELEM BREAKFAST
33473,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Custodian-Part Time ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-19.11,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
233185,Social & Emotional,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,SFPC Liaison Specialist ,n/a,,,ADMISSIONS AND STUDENT RECORDS,,EMPLOYEE RETIREMENT,,UNDESIGNATED,478.76,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
321332,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Guidance,,,,,Other Student Support,,,0,,,RETIREE SUBSTITUTE TEACHER,67.04,Principal's Office,General Purpose School,
334214,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Music,,,,,1,,,ES GENERAL MUSIC ,60225.92,PRIMARY GRADES PROGRAM ,General Fund,
50131,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MISCELLANEOUS,,,,,,,MAINTENANCE AND OPERATING,,,7.52,Misc,General Fund,
8364,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,EXT DAY TUITION PAID KINDERGAR,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,,EXT DAY TUITION PAID KINDERGAR,,PROFESSIONAL-INSTRUCTIONAL,1350.32032,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
348198,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,EXT DAY TUITION PAID KINDERGAR,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub ",Regular,,,,,EXT DAY TUITION PAID KINDERGAR,,PROFESSIONAL-INSTRUCTIONAL,3.71,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
83912,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,SEVERE DISABILITIES,GENERAL FUND,Elementary Spec Ed Para ,Regular,,,,,SPECIAL ED. - SEVERE NEEDS,,PARAPROFESSIONAL,262.42008,SPECIAL EDUCATION,,SPECIAL EDUCATION
111973,Aides Compensation,Instruction,School Reported,School,NO_LABEL,TA,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Instructional Parapro-Sp Ed,,,,,1,,,SCHOOL ASST - SPECIAL ED ,25599.75,SPECIAL EDUCATION CATEGORY III,General Fund,
154963,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,41.74,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
18029,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Teacher,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-853.53,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
380992,Extended Time & Tutoring,Instruction,School Reported,School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Ed. Allotment,"TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,97.43564144,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,EXTENDED DAYS
385517,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,BUS ASSISTANT I               ,,,,TRANSPORTATION                ,0,PUPIL TRANSPORTATION SERVICES ,,,58.814,,GENERAL FUND                  ,
203306,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Administrator II, Database ",n/a,,,ASSESSMENT & RESEARCH,,EMPLOYEE RETIREMENT,,UNDESIGNATED,847.5,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
172651,Other Non-Compensation,Instruction,Shared Services,Non-School,Special Education,Non-Position,Travel & Conferences,Non PreK,PreK-12 Operating,Certificated Travel Reimbursement,,Other Instruction,,,,Travel Mileage/Meeting Expense *,,,Summer Remediation *,,,9335.17,,General,SPEC ED PLAN. & OPERATION
295735,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,ELA General Assignment ,Regular,,,,,STATE ELPA (ENG LANG PROF ACT),,PARAPROFESSIONAL,897.91,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
206399,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Learning Center,"CLASSROOM AIDE, REGULAR",,Extra Duty,Extra Duty Pay/Overtime For Support Personnel,School ,,Social Work Services,Instruction And Curriculum,AIDE,2693.5,Undistributed,Title Iv Part B  Century Community Learning Ce,MISCELLANEOUS 
429270,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Community Services,,,,Supplies And Materials,,,Other Community Services *,,,1480.74,,Title I - Disadvantaged Children/Targeted Assistance,PARENT INVOLVEMENT
324239,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,PreK,PreK-12 Operating,PARA PROFESSIONAL             ,,,"TEACHER ASSISTANT, PK HDC     ",,,,School ,1,EXCEPTIONAL                   ,,,23752.36109,,GENERAL FUND                  ,
260400,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,,CAPITAL ROLLUP,,,,,,,FACILITIES - ACQ & CONSTR,,,71.74,Misc,Capital Projects Fund,
51614,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,, MILL LEVY,"Teacher,Retrd Shrt Term Sub ",Regular,,,,,ALL DAY KINDERGARTEN,,PROFESSIONAL-INSTRUCTIONAL,0.98,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
159419,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,Non PreK,PreK-12 Operating,Other Utilities,,,,,Undistributed,Telephone And Telecommunication Charges,School ,,Facilities Maintenance And Operations,Child Nutrition,,107.75,Undistributed,National School Breakfast And Lunch Program,
116323,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,724.66,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
59425,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Teacher Retirement,EXTENDED SALARY,,,,,Teacher Retirement,School ,,Community Services,Instruction And Curriculum,,33.97,Services To Students With Disabilities (Special Education),Idea Part B Formula,
12753,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.030172414,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,903.7248945,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
157016,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, SECOND               ",,,,School ,0.806701315,BASIC (FEFP K-12)             ,,,36683.55865,,GENERAL FUND                  ,
339793,Security & Safety,O&M,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,,,,,Undistributed,General Supplies,School ,,Security And Monitoring Services,,,492.53,Undistributed,General Operating Fund,
354702,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Inter Relatated Resource,,,,,1,,,INTERRELATED ,50100.01,SPECIAL EDUCATION CATEGORY III,General Fund,
448494,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,OFFSET TO DISTRIBUTED CHARGES,BOND EXPENDITURES,BOND,(blank),New/Closed Schl,,,,,RGN  GOB,,UNDESIGNATED,-1417999.85,BUILDING ACQUISITION AND CONST,,BUILDING ACQUISITION AND CONST
79923,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,,EARLY STAGES,LOCAL,"Coordinator, Evaluation",,,,EARLY STAGES,0.54,,,,45033.69844,,,
50259,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, ESL EDUCATION",,,Extended Week,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,273.8411571,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
152204,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,,MISCELLANEOUS,,,,,,,PUPIL SERVICES,,,7319.34,Misc,General Fund,
336596,Facilities & Maintenance,O&M,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIRS AND MAINTENANCE       ,,,,,,,School ,,OPERATION OF PLANT            ,,,231.6,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
247580,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,ARRA - STIMULUS,"Teacher, Elementary ",Regular,,,,,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,377.81152,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
91573,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MEDIA CENTERS,,,,,,,EDUCATIONAL MEDIA SERVICE,,,476.08,MEDIA CENTERS,General Fund,
341566,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,NON-CAPITAL EQUIPMENT,,BUILDING FUND,(blank),Regular,,,,,ED TECH  GOB,,UNDESIGNATED,40425.31,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
300316,Professional Development,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,STAFF DEVELOPMENT,,,,,,,IMPROVEMENT OF INSTR SERV,,,375.58,STAFF DEVELOPMENT,General Fund,
414311,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,2.03,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
161199,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Contracted Food Services,,Community Services,,,,Contracted Craft Or Trade Services *,,,Non-Public School Services *,,,-753.12,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I PI+HOMELESS
300548,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0,INST STAFF TRAINING SVCS      ,,,153.04,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
148245,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental *,,Support Services--Pupils,,,,Certificated Employees Salaries And Wages,,,Service Area Direction,,,-5051.45,,Vocational Education: Carl D. Perkins Vocational Education Act of ,PERKINS - NON TRADITIONAL
45845,Extended Time & Tutoring,Instruction,Shared Services,Non-School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SPECIAL EDUCATION SUMMER SCHOOL,LOCAL,Teacher (Summer School),,,,SCHOOL SUPPORT,0.053,,,,3034.493728,,,
59999,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,ATHLETICS,PUPIL ACTIVITY FUND,Coach ,n/a,,,ATHLETICS & STUDENT ACTIVITIES,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,5633.27,MALE ATHLETICS/SPORTS ACTIVITI,,COCURRICULAR ED/ACTIVITIES
147490,NO_LABEL,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,SUPPORT SERVICES-CENTRAL,,,-0.37,Misc,General Fund,
232072,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Long Term Sub Elem ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,37.17,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
150550,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,7.62,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
214457,Curriculum Development,ISPD,School Reported,School,Gifted,Non-Position,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL AND REGISTRATION,,GENERAL FUND,(blank),Regular,,,,,STATE - GIFTED AND TALENTED,,UNDESIGNATED,988.29,GIFTED AND TALENTED,,REGULAR INSTRUCTION
403051,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,"Manager, Food Service ",Regular,,,,0.631981056,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",12968.1487,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
354803,Aides Compensation,Instruction,School Reported,School,PreK,TA,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,,MONTESSORI TUITION BASED,,PARAPROFESSIONAL,3008.59,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
339043,Substitute Compensation,Instruction,School Reported,School,At Risk,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,State Ed. Allotment,TEACHER SUBSTITUTE POOL,,,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,93.45798611,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,REGULAR PAY
259469,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Personal Services - Employees Salaries and Wages,,Community Services,,,,Personal Services - Employees Salaries And Wages,,,Non-Public School Services *,,,321.76,,Title I - Disadvantaged Children/Targeted Assistance,ITEMABED-BS TEACHERS 
283364,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Secondary (High) ",Regular,,,,,MISCELLANEOUS DONATIONS,,PROFESSIONAL-INSTRUCTIONAL,327.63616,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
216940,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,TEACHER,Special Instruction,"TCHR, K-8 PRIMARY (GR ",,,Certificated Employees Salaries And Wages,SR OTH CERTIFICATED PERSON,1,Disadvantaged Youth *,,,103444.3829,,Title I - Disadvantaged Children/Targeted Assistance,BUILDING ALLOCATIONS
393233,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Child Nutrition,"CAFETERIA EMPLOYEE, FOOD SERV.",,Undistributed,Salaries Or Wages For Support Personnel,School ,0.63,Food Services (Child Nutrition Fund Only),Child Nutrition,HS FOOD SERVICE WORKER ,8673.247818,Undistributed,National School Breakfast And Lunch Program,REGULAR PAY
119284,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,1.000030176,ELA S - TEACHING SPANISH ONLY,,PROFESSIONAL-INSTRUCTIONAL,90559.84547,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
193033,Teacher Compensation,Instruction,Shared Services,Non-School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,ARRA - STIMULUS,"Teacher, Summer School ",n/a,,,SUMMER SCHOOL - HIGH SCHOOLS,,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,350.9276,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
328812,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,Transportation Department,BUS DRIVER,6293.33,Undistributed,General Operating Fund,OVERTIME
71037,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Personal Services - Employees Salaries and Wages,,Community Services,,,,Personal Services - Employees Salaries And Wages,,,Other Community Services *,,,275.26,,Title I - Disadvantaged Children/Targeted Assistance,PARENT INVL-P/NP 
112466,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,TERMINAL LEAVE VACATION       ,,,ASST SITE COORDINATOR,,,,School ,,COMMUNITY SERVICES            ,,,743.54,,EXTENDED LEARNING CENTER ELC  ,TERMINAL LEAVE                
431126,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Capital Outlay,,Special Instruction,,,,Capital Outlay,,,Disadvantaged Youth *,,,1099.16,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC ALLOCATION
21899,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",TRAVEL - EMPLOYEES,,HIGH SCHOOL GENERAL ED PROGRAM 9-12,,,,,,,INSTRUCTION,,,1199.41,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,
138221,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Short Term Sub ",n/a,,,HUMAN RESOURCES,,NEW TEACHER RECRUITMENT,,PROFESSIONAL-INSTRUCTIONAL,0.98,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
20102,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,TARGETED INTERVENTIONS,,PROFESSIONAL-INSTRUCTIONAL,327.18,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
26807,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating,Regular *,TEACHER,Special Instruction,"TCHR, INTERVENTION SPEC PRESCL",,,Certificated Employees Salaries And Wages,EN OTH CERTIFICATED PERSON,1,Preschool*,,,74282.69735,,General,SCHOOL BASED MANAGEMENT
433881,Facilities & Maintenance,O&M,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,GARBAGE                       ,,,,,,,School ,,FOOD SERVICE                  ,,,380.58,,FOOD SERVICES                 ,
30779,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Teacher Retirement,PAYROLL,,,,Extra Duty,Teacher Retirement,School ,,Social Work Services,Instruction And Curriculum,,6286.97,Undistributed,Title Iv Part B  Century Community Learning Ce,
268467,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TRANSPORTATION,GENERAL FUND,Special Needs Bus Asst ,n/a,,,,,NON-PROJECT,,PARAPROFESSIONAL,1063.58,TRANSPORTATION-OPERATIONS,,STUDENT TRANSPORTATION
85503,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,PARAPROF,Support Services - Instructional Staff,PARA (SPECED PREK),,,,IN CLASSIFIED SLRY/HRLY/DA,1,Classroom Support - Special Education Aides *,,,38329.71746,,General,SCHOOL BASED MANAGEMENT
372520,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-623.11,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
348588,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, BUSINESS TECH ED     ",,,,School ,0.94,VOCATIONAL (K-12)             ,,,45706.63322,,GENERAL FUND                  ,
399015,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Community Services,,,,Purchased Services,,,Other Community Services *,,,2289.9,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I - PARENT INVOLVEM
140045,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Teacher Advancement Program (TAP),,,0,,,SUBSTITUTE TEACHER,4214.88,Support - TAP,ITEMFA Schools Partnership,TEACHER ADVANCEMENT PROGRAM
164844,Aides Compensation,Instruction,School Reported,School,ELL,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,ELA General Assignment ,Regular,,,,0.651984127,STATE ELPA (ENG LANG PROF ACT),,PARAPROFESSIONAL,15057.69004,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
105963,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Assistant Principals,,,ASSISTANT PRINCIPAL - SEC,,Office of Principal,,,1,,,ASST PRINCIPAL,100910.77,Principal's Office,General Purpose School,
49062,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Regular Instruction,,,0,,,SUBSTITUTE TEACHER,354.3899,Instruction - Regular,General Purpose School,
124900,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,, MILL LEVY,"Teacher, Elementary ",Regular,,,,,ARTS ED,,PROFESSIONAL-INSTRUCTIONAL,41.85,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
151737,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,ESE SCHOOL SPECIALIST         ,,,,ESE                           ,,INST STAFF TRAINING SVCS      ,,,230.7,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
445625,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,FACILITY-EMPAC MAINT MATERIALS,MAINTENANCE,CAPITAL RESERVE FUND,(blank),,,,SERVICE BUILDING,,NON-PROJECT,,UNDESIGNATED,1202.12,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
